question,variables,target,dataset,formatter,subset,split
"This question refers to the following information.
The following entries are in the diary of Napoleon Bonaparte.
Paris has a short memory. If I remain longer doing nothing, I am lost. In this great Babylon one reputation quickly succeeds another. After I have been seen three times at the theatre, I shall not be looked at again. I shall therefore not go very frequently. (diary, 1798)
If the press is not bridled, I shall not remain three days in power. (diary, 1799)
The presence of a general is necessary; he is the head, he is the all in all of an army. It was not the Roman army that conquered Gaul, it was Caesar, it was not the Carthaginians that made the armies of the Roman republic tremble at the very gates of Rome, it was Hannibal. (diary, 1801)
My power proceeds from my reputation, and my reputation from the victories I have won. My power would fall if I were not to support it with more glory and more victories. Conquest has made me what I am; only conquest can maintain me. (diary, 1802)
The revolution in France is over and now there is only one party in France and I shall never allow the newspapers to say anything contrary to my interests. They may publish a few little articles with just a bit of poison in them, but one fine day I shall shut their mouths forever. (diary, 1805)
Napoleon instituted the Continental System to accomplish which of the following?","{""A"": ""Unify Italy with his brother as king"", ""B"": ""Punish Russia for his ill-fated invasion"", ""C"": ""Defeat England through economic war"", ""D"": ""Create a united Europe under the leadership of France""}",C,mmlu,mmlu,mmlu-high_school_european_history,validation
"This question refers to the following information.
For a long time, educated Germans answered it in the positive, initially by laying claim to a special German mission, then, after the collapse of 1945, by criticizing Germany's deviation from the West. Today, the negative view is predominant. Germany did not, according to the now prevailing opinion, differ from the great European nations to an extent that would justify speaking of a ""unique German path."" And, in any case, no country on earth ever took what can be described as the ""normal path.""
Heinrich August Winkler, Germany: The Long Road West, Volume 1, 2006
From this passage, one may infer that, prior to 1945,","{""A"": ""there was significant belief in a unique German mission in history"", ""B"": ""almost no one believed in a unique German mission in history"", ""C"": ""the historian Heinrich August Winkler argued that there was a unique German mission in history"", ""D"": ""the historian Heinrich August Winkler opposed the notion that there was a unique German mission in history""}",A,mmlu,mmlu,mmlu-high_school_european_history,validation
"_______ is the direct attempt to formally or informally manage ethical issues or problems, through specific policies, practices and programmes.","{""A"": ""Corporate social responsibility"", ""B"": ""Business ethics management"", ""C"": ""Sustainability"", ""D"": ""Environmental management""}",B,mmlu,mmlu,mmlu-business_ethics,train
"To ensure the independence of the non-executive board members, they are a number of steps which can be taken, which include non-executives being drawn from _______ the company, being appointed for a _________ time period as well as being appointed _________.","{""A"": ""Outside, Limited, Independently"", ""B"": ""Inside, Limited, Intermittently"", ""C"": ""Outside, Unlimited, Intermittently"", ""D"": ""Inside, Unlimited, Independently""}",A,mmlu,mmlu,mmlu-business_ethics,train
"Three contrasting tactics that CSO's can engage in to meet their aims are ________ which typically involves research and communication, ________, which may involve physically attacking a company's operations or ________, often involving some form of _______.","{""A"": ""Non-violent direct action, Violent direct action, Indirect action, Boycott"", ""B"": ""Indirect action, Instrumental action, Non-violent direct action, Information campaign"", ""C"": ""Indirect action, Violent direct action, Non-violent direct-action Boycott"", ""D"": ""Non-violent direct action, Instrumental action, Indirect action, Information campaign""}",C,mmlu,mmlu,mmlu-business_ethics,train
"In contrast to _______, _______ aim to reward favourable behaviour by companies. The success of such campaigns have been heightened through the use of ___________, which allow campaigns to facilitate the company in achieving _________ .","{""A"": ""Buycotts, Boycotts, Blockchain technology, Charitable donations"", ""B"": ""Buycotts, Boycotts, Digital technology, Increased Sales"", ""C"": ""Boycotts, Buyalls, Blockchain technology, Charitable donations"", ""D"": ""Boycotts, Buycotts, Digital technology, Increased Sales""}",D,mmlu,mmlu,mmlu-business_ethics,train
The Private Sector Social Enterprise Model.,"{""A"": ""1,2,4"", ""B"": ""2,3,4"", ""C"": ""1,2,3,4"", ""D"": ""1,2,3""}",D,mmlu,mmlu,mmlu-business_ethics,test
"________ are a business ethics management tool that have grown over the last few decades. Areas which these typically cover are compliance, corruption and environmental issues. However, they are constantly evolving, with for example, the onus on __________ having grown in recent years.","{""A"": ""Annual reports, Company financial performance"", ""B"": ""Annual report, Internet - social media and networking"", ""C"": ""Codes of ethics, Company financial performance"", ""D"": ""Codes of ethics, Internet - social media and networking""}",D,mmlu,mmlu,mmlu-business_ethics,test
The recent global sustainability agenda has been dominated by which of the following organisations sustainability goals?,"{""A"": ""Marks & Spencer's 'Plan A'"", ""B"": ""United Nations 'Sustainable Development Goals'"", ""C"": ""The Alibaba Group's 'Sustainability Initiatives'"", ""D"": ""Unilever's 'Sustainable Living Plan'""}",B,mmlu,mmlu,mmlu-business_ethics,validation
The OECD argues that corporate governance problems arise because:,"{""A"": ""Ownership and control is separated"", ""B"": ""Managers always act in their own self interest"", ""C"": ""Profit maximization is the main objective of organizations"", ""D"": ""Stakeholders have differing levels of power""}",A,mmlu,mmlu,mmlu-business_ethics,validation
What is the difference between a male and a female catheter?,"{""A"": ""Male and female catheters are different colours."", ""B"": ""Male catheters are longer than female catheters."", ""C"": ""Male catheters are bigger than female catheters."", ""D"": ""Female catheters are longer than male catheters.""}",B,mmlu,mmlu,mmlu-clinical_knowledge,train
In the assessment of the hand function which of the following is true?,"{""A"": ""Abduction of the thumb is supplied by spinal root T2"", ""B"": ""Opposition of the thumb by opponens policis is supplied by spinal root T1"", ""C"": ""Finger adduction is supplied by the median nerve"", ""D"": ""Finger abduction is mediated by the palmar interossei""}",B,mmlu,mmlu,mmlu-clinical_knowledge,train
"How many attempts should you make to cannulate a patient before passing the job on to a senior colleague, according to the medical knowledge of 2020?","{""A"": ""4"", ""B"": ""3"", ""C"": ""2"", ""D"": ""1""}",C,mmlu,mmlu,mmlu-clinical_knowledge,train
Glycolysis is the name given to the pathway involving the conversion of:,"{""A"": ""glycogen to glucose-1-phosphate."", ""B"": ""glycogen or glucose to fructose."", ""C"": ""glycogen or glucose to pyruvate or lactate."", ""D"": ""glycogen or glucose to pyruvate or acetyl CoA.""}",C,mmlu,mmlu,mmlu-clinical_knowledge,train
In what situation are closed pouches applied?,"{""A"": ""The patient has a semi-formed or liquid output."", ""B"": ""The patient has a colostomy."", ""C"": ""In the immediate post-operative period."", ""D"": ""The patient has a urostomy.""}",B,mmlu,mmlu,mmlu-clinical_knowledge,test
Which of the following is true about a thyroid swelling?,"{""A"": ""It always elevates on swallowing"", ""B"": ""Lymph node enlargement is a good prognostic sign"", ""C"": ""An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone"", ""D"": ""A functioning nodule on isotope scanning is unlikely to be due to cancer""}",D,mmlu,mmlu,mmlu-clinical_knowledge,test
A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:,"{""A"": ""5"", ""B"": ""50"", ""C"": ""0.5"", ""D"": ""500""}",D,mmlu,mmlu,mmlu-clinical_knowledge,test
Phophocreatine resynthesis during recovery from exercise is inhibited by:,"{""A"": ""an excess of creatine."", ""B"": ""hyperventilation."", ""C"": ""an excess of oxygen."", ""D"": ""a lack of oxygen.""}",D,mmlu,mmlu,mmlu-clinical_knowledge,test
Which organ secretes insulin?,"{""A"": ""The gastric parietal cells."", ""B"": ""The pancreas."", ""C"": ""The walls of the large intestine."", ""D"": ""The autonomic nervous system.""}",B,mmlu,mmlu,mmlu-clinical_knowledge,test
"When teaching a patient inhaler technique, how will you ensure that a large proportion of the drug reaches the lower airways?","{""A"": ""Ask them to take lots of small, quick breaths in before using the inhaler."", ""B"": ""Ask them to breathe normally when using the inhaler."", ""C"": ""Ask them to perform the procedure as quickly as they can."", ""D"": ""Ask them to hold their breath at the end of the inspiration on using the inhaler.""}",D,mmlu,mmlu,mmlu-clinical_knowledge,test
Which of the following represents Cushing's response?,"{""A"": ""Low blood pressure, tachycardia."", ""B"": ""High blood pressure, tachycardia."", ""C"": ""Low blood pressure, bradycardia."", ""D"": ""High blood pressure, bradycardia.""}",D,mmlu,mmlu,mmlu-clinical_knowledge,validation
"For patients with asthma, how many times a day should a peak flow reading be taken?","{""A"": ""Daily."", ""B"": ""Twice a day."", ""C"": ""Three times a week."", ""D"": ""Once a week.""}",B,mmlu,mmlu,mmlu-clinical_knowledge,validation
Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?,"{""A"": ""Because the patient does not like the others."", ""B"": ""Because the patient is allergic to latex."", ""C"": ""Because there are no other kinds of catheter at your disposal."", ""D"": ""Because it is cheaper.""}",B,mmlu,mmlu,mmlu-clinical_knowledge,validation
Using a large volume spacer will improve the deposition of medication by:,"{""A"": ""10-15%"", ""B"": ""40-60%"", ""C"": ""99-100%"", ""D"": ""30-40%""}",B,mmlu,mmlu,mmlu-clinical_knowledge,validation
What should be done after catheterization is carried out?,"{""A"": ""The patient should be thanked."", ""B"": ""The patient should be advised when to drink."", ""C"": ""Document catheterization in the patient's notes."", ""D"": ""The patient should be washed.""}",C,mmlu,mmlu,mmlu-clinical_knowledge,validation
Which of the following is true regarding the examination of the legs?,"{""A"": ""Sustained clonus occurs with hypotonia"", ""B"": ""Clonus can only be demonstrated at the ankle"", ""C"": ""The root value of hip flexion is L4, L5"", ""D"": ""The root value of toe extension is L5""}",D,mmlu,mmlu,mmlu-clinical_knowledge,validation
DNA ligase is,"{""A"": ""an enzyme that joins fragments in normal DNA replication"", ""B"": ""an enzyme of bacterial origin which cuts DNA at defined base sequences"", ""C"": ""an enzyme that facilitates transcription of specific genes"", ""D"": ""an enzyme which limits the level to which a particular nutrient reaches""}",A,mmlu,mmlu,mmlu-medical_genetics,train
A gene showing codominance,"{""A"": ""has both alleles independently expressed in the heterozygote"", ""B"": ""has one allele dominant to the other"", ""C"": ""has alleles tightly linked on the same chromosome"", ""D"": ""has alleles expressed at the same time in development""}",A,mmlu,mmlu,mmlu-medical_genetics,train
Which of the following conditions does not show multifactorial inheritance?,"{""A"": ""Pyloric stenosis"", ""B"": ""Schizophrenia"", ""C"": ""Spina bifida (neural tube defects)"", ""D"": ""Marfan syndrome""}",D,mmlu,mmlu,mmlu-medical_genetics,train
The stage of meiosis in which chromosomes pair and cross over is:,"{""A"": ""prophase I"", ""B"": ""metaphase I"", ""C"": ""prophase II"", ""D"": ""metaphase II""}",A,mmlu,mmlu,mmlu-medical_genetics,train
"An increase in the inbreeding coefficient, F, is likely to result in:","{""A"": ""reduced likelihood of heterozygotes being present in a population"", ""B"": ""higher proportion of genes that show linkage"", ""C"": ""higher proportion of genes with introns"", ""D"": ""higher level of difference between RNA molecules in two daughter cells""}",A,mmlu,mmlu,mmlu-medical_genetics,test
The normal human chromosome diploid number is:,"{""A"": ""23"", ""B"": ""24"", ""C"": ""46"", ""D"": ""48""}",C,mmlu,mmlu,mmlu-medical_genetics,test
Tracing of a cell lineage during development means that,"{""A"": ""the cells giving rise to and derived from a specific cell are known"", ""B"": ""the sequence of the enhancers for developmental genes is known"", ""C"": ""the regulatory genes for the organism have been genetically mapped"", ""D"": ""cell components in the membrane involved in signaling have been isolated""}",A,mmlu,mmlu,mmlu-medical_genetics,validation
"Assuming that the level of glucose is low, a mutation in the repressor of the lac operon in E. coli, preventing binding of the repressor to the operator, should result in:","{""A"": ""constitutive expression of the lac operon genes"", ""B"": ""lack of expression or reduced expression of the lac operon genes under all circumstances"", ""C"": ""expression of the genes only when lactose is present"", ""D"": ""expression of the genes only when lactose is absent""}",A,mmlu,mmlu,mmlu-medical_genetics,validation
"This question refers to the following information.
""As our late Conduct at the Conestoga Manor and Lancaster have occasioned much Speculation & a great diversity of Sentiments in this and neighboring Governments; some vindicating & others condemning it; some charitably alleviating the Crime, & others maliciously painting it in the most odious & detestable Colours, we think it our duty to lay before the Publick, the whole Matter as it appeared, & still appears, to us. . . .
""If these things are not sufficient to prove an unjustifiable Attachment in the Quakers to the Indians Savages, a fixed Resolution to befriend them & an utter insensibility to human Distresses, let us consider a few more recent Facts. When we found the last Summer that we were likely to get no Assistance from the Government, some Volunteers went out at our own Expense, determined to drive our Enemies from our Borders; & when we came near to the great Island, we understood that a Number of their Warriors had gone out against our Frontiers. Upon this we returned and came up with them and fought with them at the Munfey Hill where we lost some of our Men & killed some of their Warriors & thereby saved our Frontiers from this Story in another Expedition. But no sooner had we destroyed their Provisions on the great Island, & ruined their trade with the good People at Bethlehem, but these very Indians, who were justly suspected of having murdered our Friends in Northampton County, were by the Influence of some Quakers taken under the Protection of the Government to screen them from the Resentments of the Friends and Relations of the Murdered, & to support them thro the Winter.""
—""Apology of the Paxton Boys"" (pamphlet), 1764 (Note: ""apology"" in this context should be read as an explanation, not an admission of guilt or regret.)
The sentiments expressed in the explanation above reflect which of the ongoing tensions during the colonial period of American history?","{""A"": ""Tensions between British policies and the aspirations of North American colonists."", ""B"": ""Tensions between American Indians allied with the French and those allied with the British."", ""C"": ""Tensions between freed African Americans and white planters."", ""D"": ""Tensions between backcountry settlers and elites within colonial America.""}",D,mmlu,mmlu,mmlu-high_school_us_history,train
"This question refers to the following information.
""In the new Code of Laws which I suppose it will be necessary for you to make I desire you would Remember the Ladies, and be more generous and favorable to them than your ancestors. Do not put such unlimited power into the hands of the Husbands. Remember all Men would be tyrants if they could. If particular care and attention is not paid to the Ladies we are determined to foment a Rebellion, and will not hold ourselves bound by any Laws in which we have no voice, or Representation.""
Abigail Adams, in a letter to John Adams, 1776
""Special legislation for woman has placed us in a most anomalous position. Women invested with the rights of citizens in one section—voters, jurors, office-holders—crossing an imaginary line, are subjects in the next. In some States, a married woman may hold property and transact business in her own name; in others, her earnings belong to her husband. In some States, a woman may testify against her husband, sue and be sued in the courts; in others, she has no redress in case of damage to person, property, or character. In case of divorce on account of adultery in the husband, the innocent wife is held to possess no right to children or property, unless by special decree of the court. But in no State of the Union has the wife the right to her own person, or to any part of the joint earnings of the co-partnership during the life of her husband. In some States women may enter the law schools and practice in the courts; in others they are forbidden. In some universities girls enjoy equal educational advantages with boys, while many of the proudest institutions in the land deny them admittance, though the sons of China, Japan and Africa are welcomed there. But the privileges already granted in the several States are by no means secure.""
Susan B. Anthony, ""Declaration of Rights for Women,"" July 4, 1876
The sentiments expressed in the second excerpt by Susan B. Anthony are most likely in support of","{""A"": ""the Equal Rights Amendment"", ""B"": ""universal suffrage"", ""C"": ""states' rights"", ""D"": ""prohibition""}",B,mmlu,mmlu,mmlu-high_school_us_history,train
"This question refers to the following information.
Our leaders talk about stopping aggression from the north, but this was a struggle among groups of Vietnamese until we intervened. We seem bent upon saving the Vietnamese from Ho Chi Minh even if we have to kill them and demolish their country to do it. As the native people survey bombed-out villages, women and children burned by napalm, rice crops destroyed and cities overrun with our military personnel, they are doubtless saying secretly of the Vietcong guerillas and of the American forces, ""A plague on both your houses."" … Stop the bombing, north and south, end search and destroy offensive sweeps, and confine our military action to holding operations on the ground. Bombing the north has failed to halt or seriously check the flow of troops to the south and may, in fact, have prompted a much greater war effort by Hanoi.
—Senator George McGovern, ""The Lessons of Vietnam,"" April 25, 1967
Which of the following opinions from the 1960s most directly reflects the perspective of George McGovern's speech?","{""A"": ""Americans must maximize their technological edge in Vietnam."", ""B"": ""American bombing in Vietnam is step by step leading to progress in the war."", ""C"": ""American bombing in Vietnam is a failure."", ""D"": ""America must not give in to defeatism about the war in Vietnam.""}",C,mmlu,mmlu,mmlu-high_school_us_history,train
